"","unitid","year","opeid.x","fips.x.x","pp_years_since_entering_repay","pp_cohort_year.x","pp_repay_rate","pp_repay_rate_lowincome","pp_repay_rate_midincome","pp_repay_count_highincome","pp_race","pp_sex","grad rate","enrollment","received any aid","pct students receiving aid","pp_inst_name_fsa","pp_loan_type","pp_loan_recipients_unitid","pp_value_loan_disbursements_unitid","pp_hbcu","pp_average_loan","unsub_cohort_year.x","unsub_loan_type","unsub_loan_recipients_unitid","unsub_value_loan_disbursements_unitid","unsub_hbcu","unsub_average_loan"
"87",101709,2010,100400,1,3,2007,0.673569,0.571429,0.727869,194,1,99,0.457,2415,1,0.81,"UNIVERSITY OF MONTEVALLO",7,121,677904,"No",5602.51239669421,2007,4,1347,5540954,"No",4113.55159613957
"88",101709,2010,100400,1,3,2007,0.673569,0.571429,0.727869,194,2,99,0.348,2415,1,0.81,"UNIVERSITY OF MONTEVALLO",7,121,677904,"No",5602.51239669421,2007,4,1347,5540954,"No",4113.55159613957
"89",101709,2012,100400,1,5,2007,0.70316,0.582609,0.756757,208,2,99,0.414,2455,1,0.88,"UNIVERSITY OF MONTEVALLO",7,110,785471,"No",7140.64545454545,2007,4,1403,5707656,"No",4068.17961511048
"90",101709,2012,100400,1,5,2007,0.70316,0.582609,0.756757,208,1,99,0.458,2455,1,0.88,"UNIVERSITY OF MONTEVALLO",7,110,785471,"No",7140.64545454545,2007,4,1403,5707656,"No",4068.17961511048
"91",101736,2010,569700,1,3,2007,0.500494,0.412844,0.652318,57,2,99,0.047,3360,1,0.93,"NORTHWEST - SHOALS COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,880,2265704,"No",2574.66363636364
"92",101736,2010,569700,1,3,2007,0.500494,0.412844,0.652318,57,1,99,0.121,3360,1,0.93,"NORTHWEST - SHOALS COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,880,2265704,"No",2574.66363636364
"93",101736,2012,569700,1,5,2007,0.507878,0.422695,0.659236,60,2,99,0.107,2702,1,0.9,"NORTHWEST - SHOALS COMMUNITY COLLEGE",7,1,5422,"No",5422,2007,4,805,2307080,"No",2865.93788819876
"94",101736,2012,569700,1,5,2007,0.507878,0.422695,0.659236,60,1,99,0.129,2702,1,0.9,"NORTHWEST - SHOALS COMMUNITY COLLEGE",7,1,5422,"No",5422,2007,4,805,2307080,"No",2865.93788819876
"95",101879,2010,101600,1,3,2007,0.648683,0.561662,0.725424,258,2,99,0.119,5435,1,0.78,"UNIVERSITY OF NORTH ALABAMA",7,174,990798,"No",5694.24137931035,2007,4,2498,9514515,"No",3808.85308246597
"96",101879,2010,101600,1,3,2007,0.648683,0.561662,0.725424,258,1,99,0.32,5435,1,0.78,"UNIVERSITY OF NORTH ALABAMA",7,174,990798,"No",5694.24137931035,2007,4,2498,9514515,"No",3808.85308246597
"97",101879,2012,101600,1,5,2007,0.666667,0.58,0.72973,269,2,99,0.241,5292,1,0.82,"UNIVERSITY OF NORTH ALABAMA",7,153,1045364,"No",6832.44444444444,2007,4,2683,11031151,"No",4111.49869549012
"98",101879,2012,101600,1,5,2007,0.666667,0.58,0.72973,269,1,99,0.381,5292,1,0.82,"UNIVERSITY OF NORTH ALABAMA",7,153,1045364,"No",6832.44444444444,2007,4,2683,11031151,"No",4111.49869549012
"99",101897,2010,103100,1,3,2007,0.533865,0.471519,-3,21,1,99,0.238,2903,1,0.94,"NORTHEAST ALABAMA COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,113,279316,"No",2471.82300884956
"100",101897,2010,103100,1,3,2007,0.533865,0.471519,-3,21,2,99,0.2,2903,1,0.94,"NORTHEAST ALABAMA COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,113,279316,"No",2471.82300884956
"101",101897,2012,103100,1,5,2007,0.573643,0.506061,-3,21,2,99,0,2409,1,0.93,"NORTHEAST ALABAMA COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,128,345641,"No",2700.3203125
"102",101897,2012,103100,1,5,2007,0.573643,0.506061,-3,21,1,99,0.243,2409,1,0.93,"NORTHEAST ALABAMA COMMUNITY COLLEGE",7,0,0,"No",NA,2007,4,128,345641,"No",2700.3203125
"103",101912,2010,103300,1,3,2007,0.358643,0.277778,0.352381,121,1,99,NA,1802,1,1,"OAKWOOD UNIVERSITY",7,265,3033319,"Yes",11446.4867924528,2007,4,1373,5516130,"Yes",4017.57465404224
"104",101912,2010,103300,1,3,2007,0.358643,0.277778,0.352381,121,2,99,0.347,1802,1,1,"OAKWOOD UNIVERSITY",7,265,3033319,"Yes",11446.4867924528,2007,4,1373,5516130,"Yes",4017.57465404224
